time,traceroute_M_count,reputation_ip_num,trust_M_p,untrust_M_p,untrust_ip_dst_num,untrust_ip_dst_entropy
0.0,0.0,0.0,0.05,0.5,0.0,0.0
1.0,0.0,9.0,0.0,0.0,9.0,2.8343132061817906
2.0,0.0,13.0,0.0,0.0,13.0,3.2280250118576284
3.0,0.0,21.0,0.0,0.0,21.0,3.724231474931665
4.0,0.0,24.0,0.0,0.0,24.0,3.9599218104924376
5.0,0.0,30.0,0.0,0.0,30.0,4.299802656519052
6.0,0.0,34.0,0.0,0.0,34.0,4.473835417111945
7.0,0.0,48.0,0.0,0.0,48.0,4.914769549688546
8.0,0.0,56.0,0.0,0.0,56.0,5.176721983868432
9.0,0.0,60.0,0.0,0.0,60.0,5.298032998933311
10.0,0.0,66.0,0.0,0.0,66.0,5.3571560251932695
11.0,0.0,71.0,0.0,0.0,71.0,5.533103844865196
12.0,0.0,77.0,0.0,0.0,77.0,5.653207623133703
13.0,0.0,85.0,0.0,0.0,85.0,5.755441780116213
14.0,0.0,90.0,0.0,0.0,90.0,5.846762697046224
15.0,0.0,99.0,0.0,0.0,98.0,5.999813053884195
16.0,0.0,106.0,0.0,0.0,105.0,6.109279732586346
17.0,0.0,110.0,0.0,0.0,109.0,6.186822546775264
18.0,0.0,113.0,0.0,0.0,112.0,6.235517064571935
19.0,0.0,119.0,0.0,0.0,119.0,6.300044934151651
20.0,0.0,124.0,0.0,0.0,124.0,6.351915591549202
21.0,0.0,134.0,0.0,0.0,133.0,6.424443682909622
22.0,0.0,141.0,0.0,0.0,140.0,6.5253742647965804
23.0,0.0,145.0,0.0,0.0,144.0,6.582555656813993
24.0,0.0,149.0,0.0,0.0,148.0,6.62327766889074
25.0,0.0,155.0,0.0,0.0,154.0,6.651440402262512
26.0,0.0,160.0,0.0,0.0,160.0,6.685095666185031
27.0,0.0,166.0,0.0,0.0,166.0,6.74672694628283
28.0,0.0,174.0,0.0,0.0,174.0,6.812430713533968
29.0,0.0,176.0,0.0,0.0,177.0,6.852974559497742
30.0,0.0,186.0,0.0,0.0,187.0,6.923049386417197
31.0,0.0,191.0,0.0,0.0,192.0,6.958530382689917
32.0,0.0,199.0,0.0,0.0,198.0,7.00883017352174
33.0,0.0,205.0,0.0,0.0,204.0,7.047005680956581
34.0,0.0,211.0,0.0,0.0,210.0,7.089164309245418
35.0,0.0,218.0,0.0,0.0,216.0,7.138628677525737
36.0,0.0,222.0,0.0,0.0,220.0,7.156316689025146
37.0,0.0,227.0,0.0,0.0,225.0,7.18323604553045
38.0,0.0,230.0,0.0,0.0,228.0,7.208857585198852
39.0,0.0,233.0,0.0,0.0,231.0,7.225994137304255
40.0,0.0,237.0,0.0,0.0,234.0,7.237862009362519
41.0,0.0,241.0,0.0,0.0,238.0,7.237716118874989
42.0,0.0,251.0,0.0,0.0,248.0,7.285041174850931
43.0,0.0,258.0,0.0,0.0,255.0,7.314045140949759
44.0,0.0,266.0,0.0,0.0,261.0,7.35867367649997
45.0,0.0,275.0,0.0,0.0,270.0,7.397248786868747
46.0,0.0,282.0,0.0,0.0,277.0,7.4178533313659765
47.0,0.0,289.0,0.0,0.0,284.0,7.435335949166396
48.0,0.0,297.0,0.0,0.0,292.0,7.446248761404669
49.0,0.0,304.0,0.0,0.0,299.0,7.468554123948151
50.0,0.0,309.0,0.0,0.0,305.0,7.485118101557824
51.0,0.0,317.0,0.0,0.0,313.0,7.526299423222733
52.0,0.0,325.0,0.0,0.0,321.0,7.566930579855685
53.0,0.0,330.0,0.0,0.0,326.0,7.601663417576887
54.0,0.0,344.0,0.0,0.0,340.0,7.654095051558511
55.0,0.0,350.0,0.0,0.0,346.0,7.688461666021419
56.0,0.0,355.0,0.0,0.0,352.0,7.715593937793292
57.0,0.0,360.0,0.0,0.0,357.0,7.731906708966607
58.0,0.0,366.0,0.0,0.0,363.0,7.753443467533099
59.0,0.0,372.0,0.0,0.0,369.0,7.773840044065933
60.0,0.0,377.0,0.0,0.0,374.0,7.787580614634881
61.0,0.0,383.0,0.0,0.0,380.0,7.799457811279782
62.0,0.0,391.0,0.0,0.0,388.0,7.833537520633379
63.0,0.0,396.0,0.0,0.0,393.0,7.855563198359486
64.0,0.0,401.0,0.0,0.0,397.0,7.869157027745497
65.0,0.0,407.0,0.0,0.0,403.0,7.891837358839143
66.0,0.0,415.0,0.0,0.0,411.0,7.915774918758914
67.0,0.0,424.0,0.0,0.0,421.0,7.951819202245739
68.0,0.0,436.0,0.0,0.0,432.0,7.988078444437216
69.0,0.0,441.0,0.0,0.0,437.0,8.010328490020127
70.0,0.0,452.0,0.0,0.0,448.0,8.044925750216127
71.0,55.0,459.0,0.0,0.0007746478873239436,454.0,8.065619066734815
72.0,55.0,463.0,0.0,0.0007638888888888889,458.0,8.081916830781594
73.0,55.0,466.0,0.0,0.0007534246575342466,461.0,8.086447117761386
74.0,55.0,468.0,0.0,0.0007432432432432432,464.0,8.089976324278483
75.0,55.0,472.0,0.0,0.0007333333333333333,468.0,8.099722746825018
76.0,55.0,476.0,0.0,0.0007236842105263158,471.0,8.113167914503583
77.0,55.0,483.0,0.0,0.0007142857142857143,478.0,8.133345767340016
78.0,55.0,486.0,0.0,0.0007051282051282052,481.0,8.140488951433882
79.0,55.0,490.0,0.0,0.0006962025316455696,485.0,8.153471620210494
80.0,55.0,494.0,0.0,0.0006875,489.0,8.150223859727216
81.0,55.0,500.0,0.0,0.0006790123456790123,494.0,8.167332282841402
82.0,55.0,503.0,0.0,0.0006707317073170732,499.0,8.175390968853494
83.0,55.0,512.0,0.0,0.0006626506024096385,508.0,8.188805900416064
84.0,55.0,517.0,0.0,0.0006547619047619047,513.0,8.206591258788954
85.0,55.0,525.0,0.0,0.0006470588235294118,521.0,8.233629968381248
86.0,55.0,532.0,0.0,0.0006395348837209302,528.0,8.258102300895779
87.0,55.0,537.0,0.0,0.000632183908045977,533.0,8.27519708243192
88.0,55.0,541.0,0.0,0.000625,537.0,8.283874126678036
89.0,55.0,548.0,0.0,0.0006179775280898876,544.0,8.297692008469545
90.0,55.0,553.0,0.0,0.0006111111111111111,548.0,8.310425167540066
91.0,55.0,558.0,0.0,0.0006043956043956044,553.0,8.323795207208933
92.0,55.0,561.0,0.0,0.0005978260869565217,557.0,8.333377372468481
93.0,55.0,565.0,0.0,0.0005913978494623656,561.0,8.334604143034182
94.0,55.0,570.0,0.0,0.0005851063829787234,566.0,8.338164211026363
95.0,55.0,576.0,0.0,0.0005789473684210527,572.0,8.347042977232773
96.0,55.0,582.0,0.0,0.0005729166666666667,579.0,8.360560759445017
97.0,55.0,588.0,0.0,0.0005670103092783505,585.0,8.37765113743616
98.0,55.0,591.0,0.0,0.0005612244897959184,588.0,8.37990908210237
99.0,55.0,597.0,0.0,0.0005555555555555556,595.0,8.396971644877983
100.0,55.0,599.0,0.0,0.00055,598.0,8.406591986221443
101.0,205.0,744.0,0.0014059405940594059,0.0020297029702970298,601.0,8.413253604245787
102.0,355.0,746.0,1.9607843137254903e-05,0.003480392156862745,600.0,8.405844671881903
103.0,505.0,748.0,0.0,0.004902912621359223,597.0,8.389259795396699
104.0,655.0,752.0,0.0,0.006298076923076923,594.0,8.37513028722755
105.0,805.0,758.0,0.0,0.007666666666666666,594.0,8.366083736704326
106.0,955.0,760.0,0.0,0.009009433962264151,591.0,8.352245548156196
107.0,1105.0,765.0,0.0,0.010327102803738318,589.0,8.334994996218256
108.0,1255.0,767.0,0.0,0.011620370370370371,580.0,8.31032752012617
109.0,1405.0,769.0,0.0,0.012889908256880734,578.0,8.291891799955264
110.0,1555.0,774.0,0.0,0.014136363636363636,581.0,8.2896247022684
111.0,1705.0,779.0,0.0,0.01536036036036036,581.0,8.291432115752635
112.0,1855.0,781.0,0.0,0.0165625,578.0,8.279771557063873
113.0,2005.0,786.0,0.0,0.017743362831858407,576.0,8.271696192240954
114.0,2155.0,791.0,0.0,0.018903508771929825,572.0,8.261372603396524
115.0,2305.0,795.0,0.0,0.020043478260869566,571.0,8.241936226042615
116.0,2490.0,803.0,0.0,0.02146551724137931,573.0,8.231551716293652
117.0,2640.0,811.0,0.0,0.022564102564102566,574.0,8.223212794571838
118.0,2790.0,815.0,0.0,0.023644067796610168,574.0,8.21653137231301
119.0,2940.0,824.0,0.0,0.024705882352941175,579.0,8.217936924195415
120.0,3090.0,832.0,0.0,0.02575,578.0,8.210267207322065
121.0,3240.0,839.0,0.0,0.026776859504132233,582.0,8.209393291228105
122.0,3390.0,845.0,0.0,0.02778688524590164,580.0,8.207778838155773
123.0,3540.0,852.0,0.0,0.02878048780487805,579.0,8.20376488487904
124.0,3690.0,856.0,0.0,0.029758064516129033,579.0,8.197606356225533
125.0,3840.0,861.0,0.0,0.03072,581.0,8.199759481718226
126.0,3990.0,869.0,0.0,0.03166666666666667,582.0,8.200264696782115
127.0,4140.0,874.0,0.0,0.03259842519685039,582.0,8.19836154015815
128.0,4290.0,879.0,0.0,0.033515625,583.0,8.19495629983389
129.0,4440.0,886.0,0.0,0.03441860465116279,579.0,8.1815203279369
130.0,4590.0,892.0,0.0,0.03530769230769231,582.0,8.183534661777193
131.0,4740.0,896.0,0.0,0.03618320610687023,578.0,8.172183272338733
132.0,4890.0,901.0,0.0,0.03704545454545455,577.0,8.15906219157456
133.0,5040.0,904.0,0.0,0.037894736842105266,571.0,8.136435396936145
134.0,5190.0,908.0,0.0,0.03873134328358209,570.0,8.123690580050228
135.0,5340.0,911.0,0.0,0.03955555555555555,567.0,8.10911909026047
136.0,5490.0,921.0,0.0,0.04036764705882353,573.0,8.106573348532688
137.0,5640.0,929.0,0.0,0.04116788321167883,576.0,8.106747636139378
138.0,5790.0,933.0,0.0,0.041956521739130434,575.0,8.105805282458299
139.0,5940.0,943.0,0.0,0.042733812949640286,581.0,8.108003863246067
140.0,6090.0,948.0,0.0,0.0435,584.0,8.10798450920596
141.0,6240.0,950.0,0.0,0.04425531914893617,583.0,8.100219730680866
142.0,6390.0,953.0,0.0,0.045,582.0,8.094797476369955
143.0,6540.0,957.0,0.0,0.045734265734265735,578.0,8.089311508681204
144.0,6690.0,963.0,0.0,0.04645833333333333,576.0,8.068823924528678
145.0,6840.0,970.0,0.0,0.04717241379310345,575.0,8.05570104613982
146.0,6990.0,974.0,0.0,0.047876712328767126,573.0,8.04242230146118
147.0,7140.0,982.0,0.0,0.04857142857142857,576.0,8.052561962213103
148.0,7290.0,986.0,0.0,0.04925675675675676,576.0,8.05423685250295
