time,traceroute_M_count,reputation_ip_num,trust_M_p,untrust_M_p,untrust_ip_dst_num,untrust_ip_dst_entropy
0.0,0.0,0.0,0.05,0.5,0.0,0.0
1.0,0.0,20.0,0.0,0.0,20.0,3.901548501269332
2.0,0.0,26.0,0.0,0.0,26.0,4.18482672929662
3.0,0.0,33.0,0.0,0.0,33.0,4.358443153521408
4.0,0.0,39.0,0.0,0.0,39.0,4.6155447008916015
5.0,0.0,43.0,0.0,0.0,43.0,4.727218884305213
6.0,0.0,48.0,0.0,0.0,48.0,4.805311236129843
7.0,0.0,53.0,0.0,0.0,45.0,4.8143577313330574
8.0,0.0,56.0,0.0,0.0,37.0,4.466215094941074
9.0,0.0,59.0,0.0,0.0,33.0,4.095084380788279
10.0,0.0,60.0,0.0,0.0,25.0,3.5343855459700286
11.0,0.0,64.0,0.0,0.0,23.0,3.142417363777276
12.0,0.0,74.0,0.0,0.0,30.0,3.3222382068843794
13.0,0.0,80.0,0.0,0.0,32.0,3.452581575525321
14.0,0.0,89.0,0.0,0.0,39.0,3.717336607875647
15.0,0.0,94.0,0.0,0.0,41.0,3.937492763820952
16.0,0.0,99.0,0.0,0.0,43.0,4.083759608867037
17.0,0.0,105.0,0.0,0.0,43.0,4.730107413049438
18.0,0.0,109.0,0.0,0.0,36.0,4.5421544294561675
19.0,0.0,122.0,0.0,0.0,45.0,4.748410849115059
20.0,0.0,130.0,0.0,0.0,47.0,4.825357878141828
21.0,0.0,135.0,0.0,0.0,46.0,4.822929572887144
22.0,0.0,139.0,0.0,0.0,45.0,4.7397601368692355
23.0,0.0,142.0,0.0,0.0,43.0,4.5826425524088785
24.0,0.0,144.0,0.0,0.0,39.0,4.2393559007600725
25.0,0.0,152.0,0.0,0.0,35.0,4.182865752316786
26.0,0.0,160.0,0.0,0.0,36.0,4.3382107091712765
27.0,0.0,167.0,0.0,0.0,34.0,4.130645529870453
28.0,0.0,172.0,0.0,0.0,38.0,4.284926935575815
29.0,0.0,176.0,0.0,0.0,38.0,4.284826785162263
30.0,0.0,186.0,0.0,0.0,43.0,4.566674345741211
31.0,0.0,195.0,0.0,0.0,45.0,4.68649784694409
32.0,0.0,201.0,0.0,0.0,47.0,4.766601678718348
33.0,0.0,203.0,0.0,0.0,43.0,4.624409390748192
34.0,0.0,208.0,0.0,0.0,39.0,4.418503287795326
35.0,0.0,221.0,0.0,0.0,49.0,4.532114041221679
36.0,0.0,229.0,0.0,0.0,47.0,4.664420647519731
37.0,0.0,231.0,0.0,0.0,39.0,4.427986250545896
38.0,0.0,239.0,0.0,0.0,40.0,4.415832800290938
39.0,0.0,245.0,0.0,0.0,45.0,4.563090148777584
40.0,0.0,255.0,0.0,0.0,48.0,4.618224075497535
41.0,0.0,266.0,0.0,0.0,51.0,4.975765196676389
42.0,0.0,274.0,0.0,0.0,55.0,5.163800548246408
43.0,0.0,279.0,0.0,0.0,55.0,5.079270551742042
44.0,0.0,284.0,0.0,0.0,52.0,4.890077895287469
45.0,0.0,289.0,0.0,0.0,50.0,4.845352320976983
46.0,0.0,300.0,0.0,0.0,53.0,4.904703566356081
47.0,0.0,314.0,0.0,0.0,57.0,5.0218694667359465
48.0,0.0,323.0,0.0,0.0,52.0,4.932629112041123
49.0,0.0,328.0,0.0,0.0,53.0,5.011175064656151
50.0,0.0,336.0,0.0,0.0,56.0,5.098274717634754
51.0,0.0,341.0,0.0,0.0,54.0,5.149155947051361
52.0,0.0,348.0,0.0,0.0,53.0,5.100579025128649
53.0,0.0,351.0,0.0,0.0,44.0,4.821698543377778
54.0,0.0,354.0,0.0,0.0,41.0,4.677113861616251
55.0,0.0,360.0,0.0,0.0,44.0,4.710052542816951
56.0,0.0,364.0,0.0,0.0,36.0,4.560051910697928
57.0,0.0,367.0,0.0,0.0,30.0,4.290779306830459
58.0,0.0,375.0,0.0,0.0,31.0,4.195931084332224
59.0,0.0,381.0,0.0,0.0,34.0,4.415805162413928
60.0,0.0,388.0,0.0,0.0,37.0,4.585207417971494
61.0,0.0,393.0,0.0,0.0,37.0,4.68623366083787
62.0,0.0,399.0,0.0,0.0,37.0,4.687248230093996
63.0,0.0,405.0,0.0,0.0,39.0,4.739340594404129
64.0,0.0,407.0,0.0,0.0,36.0,4.871199321930134
65.0,0.0,409.0,0.0,0.0,33.0,4.56929060646229
66.0,0.0,420.0,0.0,0.0,37.0,4.6032219614045085
67.0,0.0,428.0,0.0,0.0,38.0,4.589227648181951
68.0,0.0,432.0,0.0,0.0,36.0,4.4178367475447935
69.0,0.0,438.0,0.0,0.0,39.0,4.611886221089264
70.0,0.0,442.0,0.0,0.0,41.0,4.6919937182299245
71.0,0.0,447.0,0.0,0.0,39.0,4.70488446564091
72.0,0.0,451.0,0.0,0.0,38.0,4.54399144472642
73.0,0.0,456.0,0.0,0.0,35.0,4.377412303329567
74.0,0.0,464.0,0.0,0.0,36.0,4.215630039862275
75.0,0.0,468.0,0.0,0.0,37.0,4.25066081546823
76.0,0.0,470.0,0.0,0.0,34.0,4.0075158372898665
77.0,0.0,477.0,0.0,0.0,36.0,3.8814379279528404
78.0,0.0,479.0,0.0,0.0,35.0,3.752680854789598
79.0,0.0,487.0,0.0,0.0,37.0,3.813792801387243
80.0,0.0,491.0,0.0,0.0,32.0,3.8054306082517617
81.0,0.0,494.0,0.0,0.0,28.0,3.5081612454055344
82.0,0.0,499.0,0.0,0.0,31.0,3.9082562467315083
83.0,0.0,506.0,0.0,0.0,35.0,4.151547189217098
84.0,0.0,509.0,0.0,0.0,35.0,4.491367512854763
85.0,0.0,515.0,0.0,0.0,34.0,4.530749049712834
86.0,0.0,519.0,0.0,0.0,35.0,4.610721774651554
87.0,0.0,527.0,0.0,0.0,37.0,4.546785613356843
88.0,0.0,535.0,0.0,0.0,41.0,4.643810266113753
89.0,0.0,542.0,0.0,0.0,43.0,4.710662849277684
90.0,0.0,550.0,0.0,0.0,46.0,4.748425180085998
91.0,0.0,557.0,0.0,0.0,48.0,4.744328264611436
92.0,0.0,560.0,0.0,0.0,47.0,4.638932973273841
93.0,0.0,565.0,0.0,0.0,45.0,4.718469134152606
94.0,0.0,573.0,0.0,0.0,48.0,4.869920343881475
95.0,0.0,577.0,0.0,0.0,45.0,4.745037691733664
96.0,0.0,583.0,0.0,0.0,43.0,4.730649613657242
97.0,0.0,588.0,0.0,0.0,45.0,4.72774962008114
98.0,0.0,593.0,0.0,0.0,38.0,4.48295687704148
99.0,0.0,596.0,0.0,0.0,34.0,4.123239798921148
100.0,0.0,609.0,0.0,0.0,42.0,4.213599860579846
101.0,1000.0,647.0,0.0,0.009900990099009901,37.0,3.9302315478348104
102.0,2000.0,647.0,0.0,0.0196078431372549,31.0,3.376414212267229
103.0,2000.0,655.0,0.0,0.019417475728155338,35.0,3.6461871295388653
104.0,2000.0,664.0,0.0,0.019230769230769232,43.0,4.008470665269269
105.0,2000.0,675.0,0.0,0.01904761904761905,47.0,4.156238128274209
