src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,label,time
10.12.216.153,10.88.243.202,1,64,19,304,ICMP,[],normal,10
10.74.229.111,10.81.178.164,3,64,16,256,TCP,[],normal,10
10.23.112.109,10.98.23.155,3,64,8,128,ICMP,[],normal,10
10.20.206.238,10.12.200.90,1,79,5,64,UDP,[],normal,10
10.56.101.82,10.42.154.203,3,64,7,112,ICMP,[],normal,10
10.14.98.189,10.16.117.220,1,64,6,96,TCP,[],normal,10
10.21.225.27,10.7.198.107,1,64,23,368,TCP,[],normal,10
10.38.226.13,10.82.213.222,1,146,3,21,UDP,[],normal,10
10.93.131.205,10.15.101.137,1,87,6,70,TCP,[],normal,10
10.47.35.40,10.53.216.95,5,234,8,35,TCP,[],normal,10
10.23.105.64,10.47.197.232,1,187,13,71,UDP,[],normal,10
10.44.233.59,10.34.138.93,1,317,7,22,TCP,[],normal,10
10.58.187.149,10.97.226.143,1,121,6,50,Traceroute,[],normal,10
10.31.197.216,10.53.35.43,1,130,16,126,TCP,[],normal,10
10.93.229.138,10.2.131.6,1,64,5,80,TCP,[],normal,10
10.66.133.72,10.58.101.185,1,64,1,16,TCP,[],normal,10
10.10.200.241,10.9.238.231,1,178,22,126,TCP,[],normal,10
10.13.213.30,10.57.61.2,5,130,14,110,TCP,[],normal,10
10.68.169.193,10.93.208.44,1,148,14,96,TCP,[],normal,10
10.63.38.194,10.64.253.136,1,64,6,96,TCP,[],normal,10
10.81.144.227,10.9.148.120,2,269,4,15,UDP,[],normal,10
10.5.77.100,10.11.108.148,1,149,13,89,TCP,[],normal,10
10.73.103.15,10.69.120.209,2,150,10,68,TCP,[],normal,10
10.50.46.27,10.71.171.81,5,115,13,115,TCP,[],normal,10
10.34.244.179,10.15.207.228,3,64,9,144,UDP,[],normal,10
10.27.216.114,10.45.169.4,1,101,4,40,TCP,[],normal,10
10.24.189.95,10.48.120.242,1,64,10,160,TCP,[],normal,10
10.38.59.189,10.93.8.94,3,178,10,57,UDP,[],normal,10
10.93.47.199,10.2.45.179,1,359,17,48,UDP,[],normal,10
10.47.49.43,10.83.92.117,2,261,16,62,TCP,[],normal,10
10.55.170.215,10.83.25.247,1,64,12,192,TCP,[],normal,10
10.24.72.102,10.35.213.71,1,80,10,128,UDP,[],normal,10
10.1.152.172,10.39.58.102,6,99,12,124,ICMP,[],normal,10
10.30.103.128,10.24.27.132,1,127,10,80,TCP,[],normal,10
10.57.11.16,10.69.124.213,1,264,7,27,UDP,[],normal,10
10.70.52.88,10.9.72.137,1,84,16,195,UDP,[],normal,10
10.45.67.70,10.66.146.170,1,64,11,176,UDP,[],normal,10
10.70.104.242,10.80.182.164,2,64,6,96,UDP,[],normal,10
10.49.205.219,10.6.168.48,2,174,7,41,TCP,[],normal,10
10.43.184.11,10.99.76.92,1,134,12,91,UDP,[],normal,10
10.48.179.220,10.39.129.101,3,64,5,80,UDP,[],normal,10
10.58.57.150,10.14.235.136,3,86,18,214,UDP,[],normal,10
10.96.145.60,10.76.166.254,2,72,11,156,TCP,[],normal,10
10.3.248.16,10.34.108.255,3,101,10,101,TCP,[],normal,10
10.26.223.108,10.90.177.85,3,64,16,256,TCP,[],normal,10
10.87.242.0,10.47.15.245,2,64,12,192,TCP,[],normal,10
10.46.82.236,10.55.113.26,1,192,3,16,UDP,[],normal,10
10.83.148.11,10.10.170.174,1,220,12,55,UDP,[],normal,10
10.46.61.32,10.82.50.207,1,73,7,98,TCP,[],normal,10
10.19.240.225,10.75.160.28,3,64,4,64,TCP,[],normal,10
10.59.212.228,10.89.137.204,1,114,5,44,TCP,[],normal,10
10.42.42.74,10.88.70.209,1,200,8,40,TCP,[],normal,10
10.86.9.161,10.91.6.132,1,77,9,119,TCP,[],normal,10
10.96.120.127,10.70.80.42,4,99,8,82,UDP,[],normal,10
10.67.18.37,10.98.185.58,1,64,9,144,UDP,[],normal,10
10.13.125.138,10.51.96.24,1,64,11,176,TCP,[],normal,10
10.60.233.0,10.12.136.188,1,170,16,96,TCP,[],normal,10
10.41.230.127,10.10.187.153,1,108,1,9,ICMP,[],normal,10
10.59.78.64,10.24.68.249,3,67,14,213,TCP,[],normal,10
10.49.177.225,10.47.53.130,1,64,8,128,UDP,[],normal,10
10.53.227.152,10.65.186.30,1,200,9,46,TCP,[],normal,10
10.92.68.171,10.92.18.170,1,160,12,76,TCP,[],normal,10
10.95.93.247,10.57.150.241,2,121,11,93,ICMP,[],normal,10
10.5.80.148,10.27.222.147,1,64,4,64,UDP,[],normal,10
10.80.27.21,10.21.161.163,1,276,5,18,TCP,[],normal,10
10.75.71.121,10.66.107.32,1,64,6,96,TCP,[],normal,10
10.50.56.54,10.25.193.175,5,64,5,80,ICMP,[],normal,10
10.82.15.36,10.77.135.77,5,67,2,30,TCP,[],normal,10
10.87.118.66,10.58.52.244,1,203,4,20,TCP,[],normal,10
10.27.202.54,10.69.29.136,3,64,1,16,TCP,[],normal,10
